,Unnamed: 0,supplier,brand_owner,distributor,manufacturer_country,brand_name_fa,preprocessed_index
210,210,اکتوورکو,اکتوورکو,الیت دارو,هند,دوکسوروبیسین اکتِ    پودر برای تهیه محلول تزریقی پرنترال 50 mg  mg,210
211,211,عماد درمان پارس,عماد درمان پارس,الیت دارو,ایران,باکتروماد   پماد موضعی 2 % 15 g,211
212,212,اکتوورکو,اکتوورکو,الیت دارو,ایران,اکتوور والوسپ   قرص خوراکی 10 mg/160 mg,212
213,213,اکتوورکو,اکتوورکو,الیت دارو,ایران,اکتوپین   قرص خوراکی 400 mg,213
214,214,اکتوورکو,اکتوورکو,الیت دارو,ایران,اکتوپین   قرص خوراکی 400 mg,214
215,215,اکتوورکو,اکتوورکو,الیت دارو,ایران,اکتوپین   قرص خوراکی 400 mg,215
216,216,اکتوورکو,اکتوورکو,الیت دارو,ایران,لایریور   کپسول خوراکی 150 mg,216
217,217,اکتوورکو,اکتوورکو,الیت دارو,ایران,آتورکسین   قرص خوراکی 40 mg,217
218,218,اکتوورکو,merck sante,الیت دارو,آلمان,گلوکوفاژ ایکس آر   قرص پیوسته رهش خوراکی 750 mg,218
219,219,اکتوورکو,اکتوورکو,الیت دارو,ایران,تیکورا   قرص خوراکی 60 mg,219
